accession	package	ncbiBioProjectAccession	biosampleGoldId	studyGoldId	env_broad_scale	env_broad_scale_mixs	env_broad_scale_mixs_via_obsolescence	is_biome	env_local_scale	env_local_scale_mixs	env_local_scale_mixs_via_obsolescence	is_selected_abp	env_medium	env_medium_mixs	env_medium_mixs_via_obsolescence	is_env_mat
SAMEA7723406	Generic.1.0	PRJEB42019	Gb0315789	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	host-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723407	Generic.1.0	PRJEB42019	Gb0315791	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	host-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723408	Generic.1.0	PRJEB42019	Gb0315782	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723409	Generic.1.0	PRJEB42019	Gb0316049	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	host-associated habitat		False	False	wood	wood [ENVO:00002040]	False	True
SAMEA7723410	Generic.1.0	PRJEB42019	Gb0315858	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723411	Generic.1.0	PRJEB42019	Gb0315859	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723412	Generic.1.0	PRJEB42019	Gb0315860	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723413	Generic.1.0	PRJEB42019	Gb0315861	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723414	Generic.1.0	PRJEB42019	Gb0315862	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723415	Generic.1.0	PRJEB42019	Gb0315863	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723416	Generic.1.0	PRJEB42019	Gb0315864	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723417	Generic.1.0	PRJEB42019	Gb0297320	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	sediment	sediment [ENVO:00002007]	False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723418	Generic.1.0	PRJEB42019	Gb0297321	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine reef	marine reef [ENVO:01000143]	False	True	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723419	Generic.1.0	PRJEB42019	Gb0297322	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	mangrove		False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723420	Generic.1.0	PRJEB42019	Gb0297323	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	lagoon	lagoon [ENVO:00000038]	False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723421	Generic.1.0	PRJEB42019	Gb0297324	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	mud	mud [ENVO:01000001]	False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723422	Generic.1.0	PRJEB42019	Gb0297325	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	mud	mud [ENVO:01000001]	False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723423	Generic.1.0	PRJEB42019	Gb0297326	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine reef	marine reef [ENVO:01000143]	False	True	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723424	Generic.1.0	PRJEB42019	Gb0297327	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine reef	marine reef [ENVO:01000143]	False	True	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723425	Generic.1.0	PRJEB42019	Gb0297328	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine reef	marine reef [ENVO:01000143]	False	True	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723426	Generic.1.0	PRJEB42019	Gb0297329	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	sediment	sediment [ENVO:00002007]	False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723427	Generic.1.0	PRJEB42019	Gb0297330	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	sediment	sediment [ENVO:00002007]	False	False	marine sediment	marine sediment [ENVO:03000033]	False	True
SAMEA7723428	Generic.1.0	PRJEB42019	Gb0240111	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723429	Generic.1.0	PRJEB42019	Gb0240113	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723430	Generic.1.0	PRJEB42019	Gb0240117	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723431	Generic.1.0	PRJEB42019	Gb0240118	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723432	Generic.1.0	PRJEB42019	Gb0240123	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723433	Generic.1.0	PRJEB42019	Gb0240124	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723434	Generic.1.0	PRJEB42019	Gb0240127	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723435	Generic.1.0	PRJEB42019	Gb0240128	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723436	Generic.1.0	PRJEB42019	Gb0240131	Gs0154244	forest biome	forest biome [ENVO:01000174]	False	True	volcanic feature	volcanic feature [ENVO:00000094]	False	True	volcanic soil	volcanic soil [ENVO:01001841]	False	True
SAMEA7723437	Generic.1.0	PRJEB42019	Gb0315752	Gs0154244	grassland biome	grassland biome [ENVO:01000177]	False	True	intermittent pond		False	False	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723438	Generic.1.0	PRJEB42019	Gb0315753	Gs0154244	grassland biome	grassland biome [ENVO:01000177]	False	True	intermittent pond		False	False	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723439	Generic.1.0	PRJEB42019	Gb0315754	Gs0154244	grassland biome	grassland biome [ENVO:01000177]	False	True	intermittent pond		False	False	lake sediment	lake sediment [ENVO:00000546]	False	True
SAMEA7723440	Generic.1.0	PRJEB42019	Gb0315755	Gs0154244	Small river biome	small river biome [ENVO:00000890]	False	True	tributary	tributary [ENVO:00000495]	False	True	stream sediment	stream sediment [ENVO:00002127]	False	True
SAMEA7723441	Generic.1.0	PRJEB42019	Gb0315756	Gs0154244	Small river biome	small river biome [ENVO:00000890]	False	True	tributary	tributary [ENVO:00000495]	False	True	stream sediment	stream sediment [ENVO:00002127]	False	True
SAMEA7723442	Generic.1.0	PRJEB42019	Gb0315757	Gs0154244	Small river biome	small river biome [ENVO:00000890]	False	True	tributary	tributary [ENVO:00000495]	False	True	stream sediment	stream sediment [ENVO:00002127]	False	True
SAMEA7723443	Generic.1.0	PRJEB42019	Gb0315417	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	bioreactor	bioreactor [ENVO:00002123]	False	False	biosolids	biosolids [ENVO:00002059]	False	True
SAMEA7723444	Generic.1.0	PRJEB42019	Gb0315418	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	bioreactor	bioreactor [ENVO:00002123]	False	False	biosolids	biosolids [ENVO:00002059]	False	True
SAMEA7723445	Generic.1.0	PRJEB42019	Gb0240076	Gs0154244	temperate desert biome	temperate desert biome [ENVO:01000182]	False	True	desert sand	desert sand [ENVO:00005800]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723446	Generic.1.0	PRJEB42019	Gb0240058	Gs0154244	temperate coniferous forest biome	temperate coniferous forest biome [ENVO:01000211]	False	True	forest soil	forest soil [ENVO:00002261]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723447	Generic.1.0	PRJEB42019	Gb0240059	Gs0154244	temperate coniferous forest biome	temperate coniferous forest biome [ENVO:01000211]	False	True	forest soil	forest soil [ENVO:00002261]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723448	Generic.1.0	PRJEB42019	Gb0240080	Gs0154244	temperate grassland biome	temperate grassland biome [ENVO:01000193]	False	True	grassland soil	grassland soil [ENVO:00005750]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723449	Generic.1.0	PRJEB42019	Gb0240081	Gs0154244	temperate grassland biome	temperate grassland biome [ENVO:01000193]	False	True	grassland soil	grassland soil [ENVO:00005750]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723450	Generic.1.0	PRJEB42019	Gb0240082	Gs0154244	temperate grassland biome	temperate grassland biome [ENVO:01000193]	False	True	grassland soil	grassland soil [ENVO:00005750]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723451	Generic.1.0	PRJEB42019	Gb0240074	Gs0154244	temperate coniferous forest biome	temperate coniferous forest biome [ENVO:01000211]	False	True	forest soil	forest soil [ENVO:00002261]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723452	Generic.1.0	PRJEB42019	Gb0315795	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	sebum	sebum [UBERON:0001866]	False	False
SAMEA7723453	Generic.1.0	PRJEB42019	Gb0315796	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	sebum	sebum [UBERON:0001866]	False	False
SAMEA7723454	Generic.1.0	PRJEB42019	Gb0315797	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	sebum	sebum [UBERON:0001866]	False	False
SAMEA7723455	Generic.1.0	PRJEB42019	Gb0315865	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	host-associated habitat		False	False	animal manure	animal manure [ENVO:00003031]	False	True
SAMEA7723456	Generic.1.0	PRJEB42019	Gb0315866	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	host-associated habitat		False	False	animal manure	animal manure [ENVO:00003031]	False	True
SAMEA7723457	Generic.1.0	PRJEB42019	Gb0315867	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	host-associated habitat		False	False	animal manure	animal manure [ENVO:00003031]	False	True
SAMEA7723458	Generic.1.0	PRJEB42019	Gb0315868	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	host-associated habitat		False	False	animal manure	animal manure [ENVO:00003031]	False	True
SAMEA7723459	Generic.1.0	PRJEB42019	Gb0315869	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	host-associated habitat		False	False	animal manure	animal manure [ENVO:00003031]	False	True
SAMEA7723460	Generic.1.0	PRJEB42019	Gb0315668	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723461	Generic.1.0	PRJEB42019	Gb0315669	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723462	Generic.1.0	PRJEB42019	Gb0315670	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723463	Generic.1.0	PRJEB42019	Gb0315671	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723464	Generic.1.0	PRJEB42019	Gb0315672	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723465	Generic.1.0	PRJEB42019	Gb0315673	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723466	Generic.1.0	PRJEB42019	Gb0315680	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723467	Generic.1.0	PRJEB42019	Gb0315681	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723468	Generic.1.0	PRJEB42019	Gb0315674	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723469	Generic.1.0	PRJEB42019	Gb0315687	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723470	Generic.1.0	PRJEB42019	Gb0315443	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723471	Generic.1.0	PRJEB42019	Gb0315446	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723472	Generic.1.0	PRJEB42019	Gb0315688	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723473	Generic.1.0	PRJEB42019	Gb0315444	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723474	Generic.1.0	PRJEB42019	Gb0315447	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723475	Generic.1.0	PRJEB42019	Gb0315689	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723476	Generic.1.0	PRJEB42019	Gb0315448	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723477	Generic.1.0	PRJEB42019	Gb0239933	Gs0154244	tundra biome	tundra biome [ENVO:01000180]	False	True	glacier	glacier [ENVO:00000133]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723478	Generic.1.0	PRJEB42019	Gb0239934	Gs0154244	tundra biome	tundra biome [ENVO:01000180]	False	True	glacier	glacier [ENVO:00000133]	False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723479	Generic.1.0	PRJEB42019	Gb0297333	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723480	Generic.1.0	PRJEB42019	Gb0297334	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723481	Generic.1.0	PRJEB42019	Gb0297335	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723482	Generic.1.0	PRJEB42019	Gb0297336	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723483	Generic.1.0	PRJEB42019	Gb0297337	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723484	Generic.1.0	PRJEB42019	Gb0297338	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723485	Generic.1.0	PRJEB42019	Gb0297339	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723486	Generic.1.0	PRJEB42019	Gb0297340	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723487	Generic.1.0	PRJEB42019	Gb0297341	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723488	Generic.1.0	PRJEB42019	Gb0297342	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723489	Generic.1.0	PRJEB42019	Gb0297343	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723490	Generic.1.0	PRJEB42019	Gb0297344	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723491	Generic.1.0	PRJEB42019	Gb0297345	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723492	Generic.1.0	PRJEB42019	Gb0297346	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723493	Generic.1.0	PRJEB42019	Gb0297347	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723494	Generic.1.0	PRJEB42019	Gb0297348	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723495	Generic.1.0	PRJEB42019	Gb0297349	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723496	Generic.1.0	PRJEB42019	Gb0315702	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	microbial mat	microbial mat [ENVO:01000008]	False	False	biofilm	biofilm [ENVO:00002034]	False	False
SAMEA7723497	Generic.1.0	PRJEB42019	Gb0316042	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	stromatolite mat	stromatolite mat [ENVO:00002157]	False	False	biofilm	biofilm [ENVO:00002034]	False	False
SAMEA7723498	Generic.1.0	PRJEB42019	Gb0315643	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723499	Generic.1.0	PRJEB42019	Gb0315644	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723500	Generic.1.0	PRJEB42019	Gb0315645	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723501	Generic.1.0	PRJEB42019	Gb0315646	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723502	Generic.1.0	PRJEB42019	Gb0315647	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723503	Generic.1.0	PRJEB42019	Gb0315648	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723504	Generic.1.0	PRJEB42019	Gb0315649	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723505	Generic.1.0	PRJEB42019	Gb0315650	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723506	Generic.1.0	PRJEB42019	Gb0315651	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723507	Generic.1.0	PRJEB42019	Gb0315652	Gs0154244	marine biome	marine biome [ENVO:00000447]	False	True	animal-associated habitat		False	False	intestine environment	intestine environment [ENVO:2100002]	False	False
SAMEA7723508	Generic.1.0	PRJEB42019	Gb0297350	Gs0154244	marine reef biome	marine reef biome [ENVO:01000029]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723509	Generic.1.0	PRJEB42019	Gb0297351	Gs0154244	marine reef biome	marine reef biome [ENVO:01000029]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723510	Generic.1.0	PRJEB42019	Gb0297352	Gs0154244	marine reef biome	marine reef biome [ENVO:01000029]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723511	Generic.1.0	PRJEB42019	Gb0297353	Gs0154244	marine reef biome	marine reef biome [ENVO:01000029]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723512	Generic.1.0	PRJEB42019	Gb0315870	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
